Category,Name of medicine,EMA product number,Medicine status,Opinion status,Latest procedure affecting product information,International non-proprietary name (INN) / common name,Active substance,Therapeutic area (MeSH),Species (veterinary),Patient safety,ATC code (human),ATCvet code (veterinary),Pharmacotherapeutic group (human),Pharmacotherapeutic group (veterinary),Therapeutic indication,Accelerated assessment,Additional monitoring,Advanced therapy,Biosimilar,Conditional approval,Exceptional circumstances,Generic or hybrid,Orphan medicine,PRIME: priority medicine,Marketing authorisation developer / applicant / holder,European Commission decision date,Start of rolling review date,Start of evaluation date,Opinion adopted date,Withdrawal of application date,Marketing authorisation date,Refusal of marketing authorisation date,Withdrawal / expiry / revocation / lapse of marketing authorisation date,Suspension of marketing authorisation date,Revision number,First published date,Last updated date,Medicine URL
Human,Arava,EMEA/H/C/000235,Authorised,,VR/0000279486,leflunomide,leflunomide,"Arthritis, Rheumatoid;Arthritis, Psoriatic",,No,L04AK01,,Immunosuppressants,,"Leflunomide is indicated for the treatment of adult patients with:  active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD); active psoriatic arthritis.  Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects. Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.",No,No,No,No,No,No,No,No,No,Sanofi-aventis Deutschland GmbH,04/09/2025,,,20/05/1999,,02/09/1999,,,,43,09/04/2018,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/arava
Human,Scenesse,EMEA/H/C/002548,Authorised,,II/0052,afamelanotide,afamelanotide,"Protoporphyria, Erythropoietic",,No,D02BB02,,Emollients and protectives,,Prevention of phototoxicity in adult patients with erythropoietic protoporphyria (EPP).,No,Yes,No,No,No,Yes,No,No,No,Clinuvel Europe Limited,18/09/2025,,,23/10/2014,,22/12/2014,,,,12,01/12/2015,17/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/scenesse
Human,Plegridy,EMEA/H/C/002827,Authorised,,VR/0000300515,peginterferon beta-1a,peginterferon beta-1a,Multiple Sclerosis,,No,L03AB13,,Immunostimulants,,Treatment of relapsing remitting multiple sclerosis in adult patients.,No,No,No,No,No,No,No,No,No,Biogen Netherlands B.V.,16/10/2025,,,21/05/2014,,18/07/2014,,,,27,19/07/2018,16/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/plegridy
Human,Avonex,EMEA/H/C/000102,Authorised,,VR/0000300515,interferon beta-1a,interferon beta-1a,Multiple Sclerosis,,No,L03AB07,,Immunostimulants,,"Avonex is indicated for the treatment of:  patients diagnosed with relapsing multiple sclerosis (MS). In clinical trials, this was characterised by two or more acute exacerbations (relapses) in the previous three years without evidence of continuous progression between relapses; Avonex slows the progression of disability and decreases the frequency of relapses; patients with a single demyelinating event with an active inflammatory process, if it is severe enough to warrant treatment with intravenous corticosteroids, if alternative diagnoses have been excluded, and if they are determined to be at high risk of developing clinically definite MS.  Avonex should be discontinued in patients who develop progressive MS.",No,No,No,No,No,No,No,No,No,Biogen Netherlands B.V. ,16/10/2025,,,,,13/03/1997,,,,40,21/05/2017,16/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/avonex
Human,Cosentyx,EMEA/H/C/003729,Authorised,,VR/0000304436,secukinumab,secukinumab,"Arthritis, Psoriatic;Psoriasis;Spondylitis, Ankylosing",,No,L04AC10,,Immunosuppressants,,"Plaque psoriasis Cosentyx is indicated for the treatment of moderate to severe plaque psoriasis in adults and children from the age of 6 years old who are candidates for systemic therapy. Hidradenitis suppurativa (HS) Cosentyx is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy. Psoriatic arthritis Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous disease modifying anti rheumatic drug (DMARD) therapy has been inadequate. Axial spondyloarthritis (axSpA) Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) Cosentyx is indicated for the treatment of active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non-radiographic axial spondyloarthritis (nr-axSpA) Cosentyx is indicated for the treatment of active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence in adults who have responded inadequately to non steroidal anti inflammatory drugs (NSAIDs). Juvenile idiopathic arthritis (JIA) Enthesitis-related arthritis (ERA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active enthesitis-related arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy. Juvenile psoriatic arthritis (JPsA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active juvenile psoriatic arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy.",No,No,No,No,No,No,No,No,No,Novartis Europharm Limited,16/10/2025,,,20/11/2014,,14/01/2015,,,,40,07/06/2018,16/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/cosentyx
Human,Vaborem,EMEA/H/C/004669,Authorised,,VR/0000288346,meropenem;vaborbactam,meropenem trihydrate;vaborbactam,"Urinary Tract Infections;Bacteremia;Bacterial Infections;Respiratory Tract Infections;Pneumonia;Pneumonia, Ventilator-Associated",,No,J01DH,,Antibacterials for systemic use,,"Vaborem is indicated for the treatment of the following infections in adults:  Complicated urinary tract infection (cUTI), including pyelonephritis Complicated intra-abdominal infection (cIAI) Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP).  Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above. Vaborem is also indicated for the treatment of infections due to aerobic Gram-negative organisms in adults with limited treatment options. Consideration should be given to official guidance on the appropriate use of antibacterial agents.",No,No,No,No,No,No,No,No,No,Menarini International Operations Luxembourg S.A.,16/10/2025,,,20/09/2018,,20/11/2018,,,,9,18/12/2018,16/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/vaborem
Human,Mvasi,EMEA/H/C/004728,Authorised,,VR/0000304407,bevacizumab,bevacizumab,"Carcinoma, Renal Cell;Peritoneal Neoplasms;Ovarian Neoplasms;Breast Neoplasms;Carcinoma, Non-Small-Cell Lung;Fallopian Tube Neoplasms",,No,L01XC07,,Antineoplastic agents,,"Mvasi in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Mvasi in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1. Mvasi, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Mvasi in combination with interferon alfa-2a is indicated for first-line treatment of adult patients with advanced and/or metastatic renal cell cancer. Mvasi, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages IIIB, IIIC and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Mvasi, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor-targeted agents. Mvasi in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor-targeted agents. Mvasi, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix.",No,No,No,Yes,No,No,No,No,No,Amgen Technology (Ireland) UC,15/10/2025,,,08/11/2017,,15/01/2018,,,,15,12/02/2018,16/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/mvasi
Human,Duloxetine Viatris (previously Duloxetine Mylan),EMEA/H/C/003981,Authorised,,VR/0000304267,duloxetine,duloxetine,"Neuralgia;Diabetic Neuropathies;Depressive Disorder, Major;Anxiety Disorders",,No,N06AX21,,Psychoanaleptics,,Treatment of major depressive disorder Treatment of diabetic peripheral neuropathic pain Treatment of generalised anxiety disorder Duloxetine Viatris is indicated in adults,No,No,No,No,No,No,Yes,No,No,Viatris Limited,10/10/2025,,,23/04/2015,,19/06/2015,,,,22,03/08/2018,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/duloxetine-viatris
Human,Ponvory,EMEA/H/C/005163,Authorised,,II/0018/G,ponesimod,ponesimod,"Multiple Sclerosis, Relapsing-Remitting",,No,L04AE04,,Immunosuppressants,,Ponvory is indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (RMS) with active disease defined by clinical or imaging features.,No,Yes,No,No,No,No,No,No,No,Laboratoires Juvisé Pharmaceuticals,04/09/2025,,,25/03/2021,,19/05/2021,,,,10,24/03/2021,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/ponvory
Human,Kineret,EMEA/H/C/000363,Authorised,,VR/0000249038,anakinra,anakinra,"Arthritis, Rheumatoid;COVID-19 virus infection",,No,L04AC03,,Immunosuppressants,,"Rheumatoid Arthritis (RA) Kineret is indicated in adults for the treatment of the signs and symptoms of RA in combination with methotrexate, with an inadequate response to methotrexate alone. COVID-19 Kineret is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adult patients with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure determined by plasma concentration of soluble urokinase plasminogen activator receptor (suPAR) ? 6 ng/ml. Periodic fever syndromes Kineret is indicated for the treatment of the following autoinflammatory periodic fever syndromes in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above: Cryopyrin-Associated Periodic Syndromes (CAPS) Kineret is indicated for the treatment of CAPS, including:  Neonatal-Onset Multisystem Inflammatory Disease (NOMID) / Chronic Infantile Neurological, Cutaneous, Articular Syndrome (CINCA) Muckle-Wells Syndrome (MWS) Familial Cold Autoinflammatory Syndrome (FCAS)  Familial Mediterranean Fever (FMF) Kineret is indicated for the treatment of Familial Mediterranean Fever (FMF). Kineret should be given in combination with colchicine, if appropriate. Still’s Disease Kineret is indicated in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above for the treatment of Still’s disease, including Systemic Juvenile Idiopathic Arthritis (SJIA) and Adult-Onset Still’s Disease (AOSD), with active systemic features of moderate to high disease activity, or in patients with continued disease activity after treatment with non-steroidal anti-inflammatory drugs (NSAIDs) or glucocorticoids. Kineret can be given as monotherapy or in combination with other anti-inflammatory drugs and disease-modifying antirheumatic drugs (DMARDs).",No,No,No,No,No,No,No,No,No,Swedish Orphan Biovitrum AB (publ),04/09/2025,,,,,08/03/2002,,,,37,06/04/2018,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/kineret
Human,Simponi,EMEA/H/C/000992,Authorised,,T/0000294611,golimumab,Golimumab,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Arthritis, Rheumatoid",,No,L04AB06,,Immunosuppressants,,"Rheumatoid arthritis (RA) Simponi, in combination with methotrexate (MTX), is indicated for:  the treatment of moderate to severe, active rheumatoid arthritis in adults when the response to disease modifying anti rheumatic drug (DMARD) therapy including MTX has been inadequate. the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with MTX.  Simponi, in combination with MTX, has been shown to reduce the rate of progression of joint damage as measured by X ray and to improve physical function. For information regarding the polyarticular juvenile idiopathic arthritis indication, please see the Simponi 50 mg SmPC. Psoriatic arthritis (PsA) Simponi, alone or in combination with MTX, is indicated for the treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Simponi has been shown to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Axial spondyloarthritis Ankylosing spondylitis (AS) Simponi is indicated for the treatment of severe, active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non radiographic axial spondyloarthritis (nr Axial SpA) Simponi is indicated for the treatment of adults with severe, active non radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Ulcerative colitis (UC) Simponi is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis (pJIA) Simponi in combination with methotrexate (MTX) is indicated for the treatment of polyarticular juvenile idiopathic arthritis in children 2 years of age and older, who have responded inadequately to previous therapy with MTX. Rheumatoid arthritis (RA) Simponi, in combination with methotrexate (MTX), is indicated for:  the treatment of moderate to severe, active rheumatoid arthritis in adults when the response to disease modifying anti rheumatic drug (DMARD) therapy including MTX has been inadequate. the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with MTX.  Simponi, in combination with MTX, has been shown to reduce the rate of progression of joint damage as measured by X ray and to improve physical function. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis (pJIA) Simponi in combination with MTX is indicated for the treatment of polyarticular juvenile idiopathic arthritis in children 2 years of age and older, who have responded inadequately to previous therapy with MTX. Psoriatic arthritis (PsA) Simponi, alone or in combination with MTX, is indicated for the treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Simponi has been shown to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Axial spondyloarthritis Ankylosing spondylitis (AS) Simponi is indicated for the treatment of severe, active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non radiographic axial spondyloarthritis (nr Axial SpA) Simponi is indicated for the treatment of adults with severe, active non radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Ulcerative colitis (UC) Simponi is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.",No,No,No,No,No,No,No,No,No,Janssen Cilag International NV,09/10/2025,,,,,01/10/2009,,,,52,02/07/2018,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/simponi
Human,Zutectra,EMEA/H/C/001089,Authorised,,VR/0000284874,human hepatitis B immunoglobulin,human hepatitis B immunoglobulin,"Immunization, Passive;Hepatitis B;Liver Transplantation",,No,J06BB04,,Immune sera and immunoglobulins,,Prevention of hepatitis B virus (HBV) re-infection in HBsAg and HBV-DNA negative adult patients at least one week after liver transplantation for hepatitis B induced liver failure. HBV-DNA negative status should be confirmed within the last 3 months prior to OLT. Patients should be HBsAg negative before treatment start. The concomitant use of adequate virostatic agents should be considered as standard of hepatitis B re-infection prophylaxis.,No,No,No,No,No,No,No,No,No,Biotest Pharma GmbH,18/09/2025,,,,,30/11/2009,,,,18,17/05/2018,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/zutectra
Human,Nplate,EMEA/H/C/000942,Authorised,,VR/0000276333,romiplostim,romiplostim,"Purpura, Thrombocytopenic, Idiopathic",,No,B02BX04,,Antihemorrhagics,,"Adults: Nplate is indicated for the treatment of primary immune thrombocytopenia  (ITP) in adult patients who are refractory to other treatments (e.g. corticosteroids, immunoglobulins). Paediatrics: Nplate is indicated for the treatment of chronic primary immune thrombocytopenia (ITP) in paediatric patients one year of age and older who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).",No,No,No,No,No,No,No,No,No,Amgen Europe B.V.,04/09/2025,,,20/11/2008,,04/02/2009,,,,30,04/06/2018,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/nplate
Human,Ondexxya,EMEA/H/C/004108,Authorised,,PSUR/0000248508,andexanet alfa,andexanet alfa,Drug-Related Side Effects and Adverse Reactions,,No,V03AB,,All other therapeutic products,,For adult patients treated with a direct factor Xa (FXa) inhibitor (apixaban or rivaroxaban) when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding.,No,Yes,No,No,Yes,No,No,No,No,AstraZeneca AB,21/08/2025,,,28/02/2019,,26/04/2019,,,,19,27/06/2019,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/ondexxya
Human,Mayzent,EMEA/H/C/004712,Authorised,,VR/0000255116,siponimod,siponimod fumaric acid,"Multiple Sclerosis, Relapsing-Remitting",,No,L04,,Selective immunosuppressants,,Mayzent is indicated for the treatment of adult patients with secondary progressive multiple sclerosis (SPMS) with active disease evidenced by relapses or imaging features of inflammatory activity.,No,No,No,No,No,No,No,No,No,Novartis Europharm Limited ,11/09/2025,,,14/11/2019,,13/01/2020,,,,19,23/01/2020,15/10/2025,https://www.ema.europa.eu/en/medicines/human/EPAR/mayzent
